ITEM_DESCRIPTION,count
Full Body Porcelain Tiles Size : 600 X 1200 Mm(1 Box = 1.44 Sq.Mtr))(Rest As Perinv),3
Digital Glaze Porcelain Tiles (1008 Box),3
Ceramic Glazed Vitrified Tiles Size : 300 X 600 Mm,3
Ceramic Glazed Wall Tiles Size: 100X400Mm (Imperial Bianco Gloss 10X40) As Perinvoice,3
"Digital Ceramic Glazed Floor Tiles Size40 Cm X 40 Cm1 Box = 6 Pcs,1 Box = 0.96Sqm,Mfg-Gst-24Aapcs8885D1Zs Inv.S-0059 D",3
Ceramic Glazed Wall Tiles 7.5 X 30 Cm,3
Glazed Ceramic Wall Tiles (1638 Box),3
Porcelain Tiles Of A Water Absorp Coefficient Weight Not Exceeding 0.5% Size 600X600 O/D As Per Inv & Pl,3
Ceramic Polished Vitrified Tiles Size:60X60 Cm As Per Invoice,3
Digital Glazed Vitrified Tiles (Size: 600X1200 Mm) (We Intnd To Clm Bnft Undr Rodtep Scheme),3
Polished Porcelain Glazed Vitrified Tiles Size : 600 Mm X 600Mm,3
"Digital Ceramic Glazed Wall Tiles Size 30 Cm X 60 Cm1 Box = 5 Pcs,1 Box = 0.90 Sqm,Mfg-24Adnfs5704P1Zh Inv.8 Dt.02/04/20",3
"Digital Ceramic Glazed Floor Tiles Size40 Cm X 40 Cm1 Box = 6 Pcs, 1 Box = 0.96Sqm,Mfg-Gst-24Aapcs8885D1Zs Inv.S-0004",3
"Ceramic Glazed Floor Tiles (Size:600X600Mm, 11440 Boxes) & (Sample Of Varioussizes, 94 Boxes Foc ) As Per Inv & Pl",3
Ceramic Glazed Wall Tiles - Other Details As Per Invoice & Packing List,3
Ceramic Floor Tiles - Other Details As Per Invoice & Packing List,3
Glazed Porcelain Floor Tiles Design Code High Glossy (600X600 Mm) Other Details As Per Invoice & Packing List,3
Glazed Porcelain Floor Tiles Design Code Glossy (600X600 Mm) Other Details Asper Invoice & Packing List,3
Ceramic Glazed Wall Tiles ( Other Details As Per Inv & Pl ),3
Ceramic Glazed Wall Tiles Size 600X600Mmother Dtls As Per Invoice And Packing List,3
Ceramic Glazed Wall Tiles Size 300X600Mmother Dtls As Per Invoice And Packing List,3
Glazed Vitrified Tiles - 800X1600 Mm(Other Details As Per Inv & Pl),3
Glazed Vitrified Tiles - 600X600 Mm(Other Details As Per Inv & Pl),3
Glazed Vitrified Tiles - 600X1200 Mm(Other Details As Per Inv & Pl),3
Ceramic Glazed Vitrified Tiles (Polished) Size:- 600X1200Mm = 2 Pcs/Box = 1.44 Sqm,3
Glazed Vitrified Tiles Size: 600Mmx600Mmas Per Inv.,3
Glazed Vitrified Tiles (Glazed Porcelaintiles)(Other Details As Per Inv & Pl),3
Glazed Tiles 60X120Cm [2 Pcs=1.44Sqm] Asper Inv,3
As Per Packinglist In Pallet Polished Glazed Vitrified Tiles,3
Glazed Vitrified Tiles(600 Mm X 600 Mm)(Other Details Are As Per Invoice),3
Sample - (Size: 600 X 1200 Mm) - Otherdetails As Per Invoice & Packing List,3
Digital Printed Glazed Ceramic Tiles Size400X400Mm(1Box=5Pcs=0.80 Sqm)Total 8400 Boxes Other Details As Per Inv And Pl,3
Digital Glazed Wall Tiles (Ceramic Walltiles) Size: 250X375 Mm. Tax Inv. Ds 52Dt.16.04.2024,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X600 Mm.Tax Inv. 145 Dt.16.04.2024,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X600 Mm.Tax Inv.Mg/186 Dt.16.04.2024,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X1200 Mm. Tax Inv.Gstt/131 Dt.16.04.2024,3
Digital Glazed Vitrified Tiles Step ( Size : : 30 X 120 Cm ),3
Digital Glazed Vitrified Tiles Riser ( Size : : 20 X 120 Cm ),3
Unglazed Polished Porcelain Tiles (Otherdetails As Per Inv & Pkg),3
Glaze Vitrified Tiles-Details As Per Invoice,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X1200 Mmtax Inv.Gstt/15 Dt.02-04-2024,3
Polished Porcelain Glazed Vitrified Tiles Size : 600Mm X1200Mm,3
Digital Printed Glazed Porcelain Vitrified Tiles Size300X600Mm(1Box=6Pcs=1.08 Sqm)Total 2576 Boxes Other Details As Per,3
Glazed Vitrified Tiles 600X1200 Import Country Hsn Code: 6907230090 Other Details As Per Inv Pl,3
Ceramic Glazed Wall Tiles (Water Absorpcoefficient By Weight Exceeding 10%) Size 300X600 O/D As Per Inv & Pl,3
Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size: 800X1600Mm Other Details As Per Inv & Pl,3
Glazed Vitrified Tiles - 1200X1800 Mm,3
Digital Printed Glazed Porcelain Tiles Size- 800X1600 Mm Other Details As Per Invoice & Packing List,3
Digital Printed Glazed Porcelain Tiles Size- 1200X1800 Mm Other Details As Per Invoice & Packing List,3
Glazed Porcelian Floor Tiles Design Code Dg Matt (600X1200) Other Details As Per Invoice & Packing List,3
Glazed Vitrified Floor Tiles(Other Details Are As Per Invoice),3
Glazed Polished Porcelain Tiles Of A Water Absorp Coefficient Weight Not Exceeding 0.5% Size 600X600 O/D As Per Inv & Pl,3
Porcelain Tiles (Size: 600X600 Mm) - Other Details As Per Inv & Pl,3
Ceramic Glazed Tiles Digital Glazed Vitrified Tiles 600X 600Mm,3
Porcelain Tiles (Size: 600X1200 Mm) (Other Details As Per Invoice & Packing List),3
"Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size:1200 X 1200 X 9Mm (2 Pcs/Box), O/D As Per Inv & Pl",3
"Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size: 1200X2400X9Mm (1 Pcs/Box), O/D As Per Inv & Pl",3
"Glazed Ceramic Wall Tile (Biii) Water Absorption, Other Details As Per Inv & Pl",3
Digital Printed Polished Glazed Porcelain Vitrified Tiles Size300X600Mm(1Box=5Pcs=0.90 Sqm)Total 1512 Boxes Other Detai,3
Digital Printed Glazed Porcelain Vitrified Tiles Size300X600Mm(1Box=6Pcs=1.08 Sqm)Total 3864 Boxes Other Details As Per,3
Glazed Ceramic Vitrified Tiles 600X1200Mm (2Pcs/Box),3
Glazed Ceramic Vitrified Tiles 1200X1200 Mm (2Pcs/Box),3
Glazed Vitrified Tiles (Sample Boxes) (Other Details As Per Invoice),3
Ceramic Glazed Tiles Other Details As Per Invoice And Packing List,3
Digital Printed Ceramic Glazed Porcelain Tiles 80 X 80 Cm,3
Digital Printed Ceramic Glazed Porcelain Tiles 120 X 120 Cm,3
"Digital Glazed Vitrified Tiles, Size:600X1200Mm, Dtls As Per Inv. & Pl",3
Glazed Ceramic Tiles Size 300Mm X 600Mm1 Box = 6 Pcs (Per Box 1.08 Sqmtrs) Asper Invoice,3
Porcelain Tiles 600X600Mm [1 Box = 4 Pcs= 1.44 M2 (Sqm/Box) ]Glossy](Rest As Per Inv),3
Glazed Porcelain Tiles (Other Details Asper Invoice).,3
Ceramic Glazed Tiles.5 Pcs/ Box,3
Glazed Porcelain Tiles Water Absorption10% To 15% Other Details As Per Inv & Pl,3
Glazed Porcelain Floor Tiles (Biib) - (Size: 600 X 600 X 9.1 Mm) - Other Detailsas Per Invoice & Packing List,3
Glazed Ceramic Wall Tiles (Biii) - (Size: 300 X 600 X 9.0 Mm) - Other Details Asper Invoice & Packing List,3
Ceramic Vitrified Tiles,3
"Porcelain Tiles (Ceramic Digital Glazedporcelain Tiles,) Size 600X1200 Mm ( 1 Box = 02 Pcs ) Rest As Per Inv & Pl",3
Digital Printed Polished Glazed Porcelain Vitrified Tiles Size300X600Mm(1Box=6Pcs=1.08 Sqm)Total 1232 Boxes Other Detai,3
Ceramic Glazed Vitrified Tiles Tiles Size : 600 X 1200 Mm,3
Polished Glaze Porcelain Tiles (2520 Box),3
Glaze Porcelain Tiles (Matt Finish) (3480 Box),3
"Digital Glazed Porcelain (Vitrified) Tile Size:600X1200 Mm Mfg-M/S Itoli Granitollp Inv No-Gstt/87,Dt-16.04.2024 Gst No",3
Glazed Porcelian Floor Tiles Design Code Glossy (800X1600 Mm) Other Details Asper Invoice & Packing List,3
Porcelain Glazed Vitrified Tiles (Size:600X1200Mm) (Palletised)(We Intend To Claim Befefit Under Rodtep Scheme),3
Ceramic Glazed Vitrified Tiles Size 60X120 Cm ( As Per Inv ),3
Porcelain Tiles : 800 X 3000 Mm,3
Porcelain Tiles : 800 X 1600 Mm,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X600 Mm.Tax Inv.216 Dt.22.04.2024,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X1200 Mm. Tax Inv.Gstt/190 Dt.22.04.2024,3
Glazed Vitrified Tiles Size: 600X1200 Mmas Per Inv. Tax Inv No.Gstt/226 Dt.22.04.2024.,3
Glaze Porcelain Tiles (Matt Finish) (1040 Box),3
Ceramic Glazed Wall Tiles Coloured Size:100Mm X300Mm(1Box=0.99Sqm) Water Absorption Coefficient By Weight Exceeding10%,3
Ceramic Glazed Tiles Digital Glazed Walltiles 300 X600Mm,3
Ceramic Glazed Tiles Digital Glazed Floor Tiles 300 X300Mm,3
Ceramic Glazed Tiles (600X600 Mm)Oth. Det. As Per Inv,3
"Ceramic Glazed Floor Tiles Size 300X300Mm, Other Details As Per Inv & Pl",3
Glaze Porcelain Tiles Size : 600Mmx1200Mm (As Per Inv).,3
Glazed Vitrified Floor Tiles Coloured Size:600X600Mm Other Details As Per Inv &Pl,3
Glazed Vitrified Tiles Other Details Asper Inv. Factory Inv No. Vz/3 Dt.07.04.2024. Tiles Size:60X120 Cm,3
"Ceramic Glazed Vitrified Tiles Size:- 1200Mm X 1200Mm, 2Pc/Box-Glosy",3
"Ceramic Glazed Vitrified Tiles Size:- 1200Mm X 1200Mm, 2Pc/Box-Carving",3
"Polished Digital Glazed Vitrified Tilessize: 600X600Mm,Mfg-Sologres Granito Pvtltd Gst-24Aaxcs0641K1Zz Iec-2416903454",3
Digital Printed Glazed Porcelain Tiles Size : 60 X 120 Cm,3
"Digital Ceramic Glazed Floor Tiles Size40 Cm X 40 Cm1 Box = 6 Pcs,1 Box=0.96 Sqm,Mfg-Gst-24Aapcs8885D1Zs Inv.S-0056 Dt",3
Glazed Vitrified Tiles Other Details Asper Inv. Factory Inv No.Vz/5 Dt.16.04.2024. Size-60X120 Cm.,3
Digital Glaze Porcelain Tiles (9600 Box),3
Glaze Porcelain Tiles (2880 Box),3
"Ceramic Glazed Tiles(Size:600X1200, 1024Boxes) Other Details As Per Invoice And Pl",3
Ceramic Glazed Wall Tiles Coloured Size:108Mm X108Mm(1Box=1.1664Sqm)Water Absorption Coefficient By Weight Exceeding10%,3
Porcelain Tiles (Size: 600X1200 Mm),3
Glazed Vitrified Tiles As Per Inv. Tax Inv-M0015 Dt.02.04.2024,3
Glazed Vitrified Tiles As Per Inv. Tax Inv-Gstt/8 Dt.02.04.2024,3
Glazed Porcelain Floor Tiles Design Code High Glossy (600X1200) Other Details As Per Invoice & Packing List,3
Glazed Porcelain Floor Tiles Design Code Glossy (600X1200) Other Details As Perinvoice & Packing List,3
Ceramic Glazed Tiles Digital Glazed Floor Tiles 300X300 Mm,3
Glazed Vitrified Tiles (Size: 800X800 Mm),3
Ceramic Wall Tiles (Size: 300X600 Mm) (Palletised),3
Glazed Porcelain Floor Tiles Size: 600X1200 Mm Brand Delta,3
Glazed Ceramic Floor Tiles Size: 600X600Mm Brand Delta,3
Glazed Vitrified Tiles - 800X800 Mm,3
Polished Glazed Vitrified Tiles - (Size:300 X 600 Mm) - Other Details As Per Inv/Pkg List,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X600 Mm.Tax Inv.132 Dt.15.04.2024,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X600 Mm.Tax Inv.133 Dt.15.04.2024,3
Polished Glazed Vitrified Tiles Size: 600X600 Mm (1Box = 1.44 Sqm) (Rest As Perinv),3
Digital Glazed Tiles (Other Details As Per Invoice And Pl),3
Digital Glazed Tiles &600X1200Mm 9.36 Sqm. Sample Not For Sale & Mug 15 Pcs Sample Not For Sale(Other Details As Per Inv,3
Ceramic Glazed Wall Tiles:300X600 Otherdetails As Per Inv And Pl,3
Digital Glazed Vitrified Tiles (Size : 600X1200 Mm)(We Intnd To Clm Bnft Undr Rodtep),3
Digital Glazed Wall Tiles (Ceramic Walltiles) Size: 300X600 Mm. Tax Inv. 2024-25/0115 Dt.27.04.2024,3
Digital Glazed Wall Tiles (Ceramic Walltiles) Size: 300X300 Mm. Tax Inv. 2024-25/0115 Dt.27.04.2024,3
Vitrified Tiles [4Pcs.Per Box=1.44 Sqmt]Size:600X600 Mm Inv-Ds 384 Dt:27.04.2024,3
Polished Glazed Vitrified Tiles Other Details As Per Inv & Pl. Tax Inv No. Gstt/421 Dt. 27.04.2024,3
Polished Glazed Vitrified Tiles Other Details As Per Inv & Pl. Tax Inv No. Gstt/152 Dt. 27.04.2024,3
Polished Glazed Vitrified Tiles Other Details As Per Inv & Pl. Tax Inv No. Gstt/150 Dt. 27.04.2024,3
Digital Glazed Vitrifed Tiles (Digital Glazed Porcelain Tiles) Size-600X1200 Mm.Tax Inv-Gstt/115 Dt.15.04.2024,3
Digital Glazed Parking Tiles (Ceramic Parking Tiles) Size-400X400 Mm. Tax Inv-Gstt/94 Dt.15.04.2024.,3
Digital Glazed Vitrified Tiles Size:600X1200 Mm 1 Box = 2 Pcs As Per Invoice & Packing List,3
Glazed Vitrified Porcelain Step & Risertiles O/D As Per Inv/Pl,3
Ceramic Glazed Wall Tiles (Size: 300X600Mm) (+10 Box Sample Of Tiles & 144 Pkgadvt. Matrl-Foc) (Palletised),3
Polished Glazed Vitrified Tiles Size :600X1200X9 Mm(Other Details As Per Invoice),3
"Ceramic Glazed Coloured Digital Wall Tiles Size: 300X600Mm , Mfg-Spinora Tiles Pvt. Ltd. Inv.No.Gstt/30 Dt:08.04.2024 Gs",3
Ceramic Glazed Wall Tiles As Per Inv. Tax Inv No. Gstt/49 Dt. 08.04.2024,3
Polished Glaze Porcelain Tiles (4704 Box),3
Glaze Ceramic Wall Tiles (Glossy Finish)(2592 Box),3
Digital Ceramic Glazed Vitrified Tiles Size:600X600Mm (4Pcsbox=1.44 Sq. Mtr),3
Glazed Vitrified Tiles Other Details Asper Inv. Factory Inv No.Vz/4 Dt.15.04.2024. Size-60X120 Cm.,3
Glazed Vitrified Tiles Glossy Size- 1000X1000 Mm 2 Piece Per Box 2.00 Sqm Per Box As Per Inv,3
"Glazed Porcelain Tiles -600 X600Mm, Other Details As Per Inv, Hs Code:69072193",3
Glazed Vitrified Tiles As Per Inv. Tax Inv-Me/11 Dt.08.04.2024,3
Glazed Vitrified Tiles (Size: 200X1200Mm) (Other Details As Per Inv & Pl),3
"Glazed Porcelain Tiles -600 X1200Mm, Other Details As Per Inv, Hs Code:69072193",3
Ceramic Floor Tiles As Per Inv. Tax Invno.Me/1 Dt.15.04.2024,3
Ceramic Glazed Wall Tiles Size : 300 X 450 Mm,3
Glazed Porcelain Tile-(Details As Per Invoice),3
Ceramic Glazed Floor Tiles (Wooden Planks) (Size: 150X900 Mm) (Other Details Asper Invoice & Packing List),3
Ceramic Glaze Tiles (Ceramic Glaze Walltiles) Size: 300X600 Mm (As Per Inv). Tax Inv No-Fgs 148 Dt-22/04/2024,3
Vitrified Tiles 600X600Mm (Other Detailsas Per Inv & Pl),3
Ceramic Glazed Tiles Digital Glazed Walltiles 300X600 Mm,3
Glazed Vitrified Tiles (Size: 200X1200 Mm),3
Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size:-1200X1600X17 Mm O/D As Per Inv & Pl,3
Vitrified Porcelain Tiles,3
Glazed Vitrified Tiles (Size: 800X1600 Mm),3
"Glazed Porcelain Tiles Size:- 600X600 Mm, Other Details As Per Inv & Pl.",3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size-600X600 Mm.Tax Inv-Gstt/128 Dt.24.04.2024,3
Glazed Vitrified Tiles Size:600X600Mm Other Details As Per Invoice And Packing List,3
Polished Glazed Vitrified Tiles (Other Details As Per Invoice). Tax Inv No. Sg311 Dt. 27-04-2024,3
Glazed Vitrified Tiles Other Details Asper Inv. Size:60X120 Cm. Tax Inv No. Gstt/381 Dt.27.04.2024,3
Ceramic Glazed Wall Tiles (Full Detailsas Per Inv & P/List),3
Ceramic Glazed Floor Tiles (Full Detailsas Per Inv & P/List),3
Polished Glazed Vitrified Tiles [ 4 Pcs. Per Box 1.44 Sqmt] Size:600X600 Mm Invgstt/125 Dt:27.04.2024,3
Glazed Vitrified Tiles (All Other Details As Per Invoice And Pl),3
Glazed Vitrified Tiles Size: 600Mmx1200Mm As Per Inv.,3
Glazed Vitrified Tiles - 800X1800 Mm,3
Ceramic Tiles Size : 600 X 600 Mm,3
Digital Printed Ceramic Glazed Porcelaintiles(60 X120 Cm)(Other Details Are Asper Invoice),3
Sample (F.O.C) Glazed Porcelain Tiles And Other Details As Per Inv Andpl,3
Ceramic Glaze Floor Tiles Coloured (Size: 600 X 1200 Mm) (Other Details As Perinv & Pl),3
Glazed Porcelain Tiles (Polished) Size :800X800Mm = 3 Pcs./Box = 1.92 Sqm,3
Glazed Porcelain Tiles (Polished) Size :600X600Mm = 4 Pcs./Box = 1.44 Sqm,3
Polished Glazed Vitrified Tiles Other Details As Per Inv & Pl. Tax Inv No. Gt/137 Dt.14.04.2024.,3
Glazed Vitrified Floor Tiles Coloured (Other Details As Per Inv And Pl).,3
Ceramic Wall Tiles (Rest As Per Inv),3
Polished Glazed Vitrified Tiles Size (Cm) 60 X 120 Cm,3
Glazed Vitrified Tiles (Size: 600 X 1200Mm) (Other Details As Per Inv & Pl),3
Ceramic Glazed Vitrified Tiles (Size:600X1200Mm) Other Details As Per Inv& Pl,3
Glazed Porcelian Floor Tiles Design Code High Glossy (800X1600 Mm) Bg Other Details As Per Invoice & Packing List,3
Glazed Porcelian Floor Tiles Design Code High Glossy (600X600 Mm) Other Details As Per Invoice & Packing List,3
Polished Glazed Porcelain Tiles Size : 600 X 1200 Mm (1 Box = 1.44 Sq.Mtr)(Restas Per Inv),3
Porcelain Tiles Size : 1200 X 1200 Mm,3
Digital Printed Ceramic Glazed Porcelain Tiles Size 20 X 120 Cm,3
Vitrified Tiles (Squared Tiles And Cubes) - 600X1200 Mm,3
Porcelain Tiles Size: 600Mm X 1200Mm Asper Inv. Tax Inv No. Sgl/24-25/500 Dt.23.04.2024,3
Glazed Polished Vitrified Tiles (Other Details As Per Invoice & Packing List),3
"Ceramic Wall Tiles 300X450 Mm, Other Details As Per Inv & Pl",3
Ceramic Glazed Tiles Digital Glazed Vitrified Tiles 150X900 Mm,3
Glazed Vitrified Tiles Size: 600X1200 Mm(As Per Inv).,3
Porcelain Sample Book (Water Absorptionpercentage=Not Exceeding 0.5%)(Pltsd),3
Glazed Vitrified Floor Tiles Coloured(Other Details As Per Invoice),3
Ceramic Glazed Digital Wall Tiles. Size:300X300 Mm As Per Inv.,3
Ceramic Glaze Vitrified Tiles (Size 600X 1200 Mm - 2 Pcs In One Box- 1.44 Sqm),3
Porcelain Glaze Digital Printed Vitrified Tiles Size:600X600 (1040 Boxes) (As Per Inv ),3
Porcelain Glaze Digital Printed Floor Tiles Size:300X300 (2376 Boxes) (As Per Inv ),3
Ceramic Glazed Digital Printed Wall Tiles Size:300X600 (6624 Boxes) (As Per Inv),3
Polished Glazed Vitrified Tiles (Other Details As Per Invoice). Tax Inv No. Mexp/31 Dt.13.04.2024,3
Ceramic Glazed Vitrified Tiles - & (Sample 10 Boxes Foc )Other Details As Per Invoice And Packing List,3
Glazed Porcelain Floor Tiles Design Code Satin Matt/Rustic Matt (600X1200 Mm)Other Details As Per Inv & Packing List,3
Glazed Vitrified Tiles - 200X1200 Mm,3
"Glazed Porcelain Tiles , Other Details As Per Inv & Pl",3
Glazed Vitrified Floor Tiles Coloured Size:600X600Mm Other Dtls As Per Inv & Pl,3
Digital Glazed Vitrified Tiles Size : 600X1200 Mm,3
Polished Unglaze Porcelain Tiles (5720 Box),3
Ceramic Glaze Floor Tiles Coloured Size: 800 X 2400 Mm (1 Box = 1.92 Sq.Mtr),3
Glaze Porcelain Tiles (5712 Box),3
Glaze Porcelain Tiles (1904 Box),3
Ceramic Glazed Digital Wall Tiles. Size:300X600 Mm As Per Inv.,3
Glazed Porcelain Tiles (Polished) Size :600X1200Mm = 2 Pcs./Box = 1.44 Sqm,3
Vitrified Tiles (Squared Tiles And Cubes) - 800X1600 Mm,3
Glazed Vitrified Tiles (Size: 600 X 1200Mm)(Palletised),3
Ceramic Glazed Wall Tiles As Per Inv. Tax Inv-Gstt/83 Dt.24.04.2024,3
Porcelain Floor Tiles (Size : 600 X 600Mm),3
Glazed Vitrified Tiles (Design Name: Ivory) (Size: 600X600 Mm),3
Digital Glaze Porcelain Tiles (5200 Box),3
Ceramic Glaze Tiles (Other Details As Per Invoice),3
Glazed Vitrified Floor Tiles Coloured (Other Details As Per Inv And Pl). Tax Inv.62 Dt.23.04.2024,3
Glaze Porcelain Tiles (3120 Box),3
Glazed Vitrified Tiles (Size: 600X600X9Mm) (Other Details As Per Invoice & Packing List),3
Ceramic Glazed Wall Tiles (25X37=8Pcs/Box) O/D As Per Invoice,3
Ceramic Glazed Wall Tiles Coloured Size:100Mm X 200Mm (1Box = 1.00 Sqm) Other Details As Per Inv And Pl,3
Ceramic Glazed Vitrified Tiles Size:1200X1200Mm Other Details As Per Inv& Pl,3
Digital Printed Coloured Glazed Porcelain Tiles 600X1200Mm (1 Box = 2 Pcs = 1.44M2 (Sqm/Box),3
Polished Glazed Vitrified Tiles (Other Details As Per Invoice). Tax Inv No. Mexp/54 Dt. 28-04-2024,3
Glazed Vitrified Tiles 600X1200 Mm Otherdetails As Per Inv & Pl,3
Ceramic Glazed Wall Tiles (Colored) Size: 300 X 450 Mm,3
Ceramic Glazed Floor Tiles (Colored) Size : 396 X 396 Mm,3
Floor Tiles (Rest As Per Inv),3
Glazed Porcelain Tiles (Sgs Seal No-07559)(Rest As Per Inv),3
Glazed Porcelain Tiles (Sgs Seal No-07560)(Rest As Per Inv),3
Glazed Porcelain Tiles (Sgs Seal No-07558) (Rest As Per Inv),3
Ceramic Glazed Tiles Size 300X600Mm Other Details As Per Invoice And Packing List,3
Glazed Vitrified Tiles Size 600Mm X 600Mm 1 Box = 4 Pcs (Per Box 1.44 Sqmtrs) As Per Invoice,3
Ceramic Glazed Wall Tiles (Other Detailsas Per Invoice),3
Ceramic Glazed Vitrified Tiles Polished/Matt (Size:60X120 Cm) And Other Detailsas Per Inv And Pl,3
Polished Glazed Vitrified Tiles Size: 300X600 Mm (As Per Inv). Tax Inv No. 255Dt. 23.04.2024.,3
Glazed Vitrified Tiles (600X1200),3
Glazed Ceramic Wall Tiles (Group Biii) Size: 280X534X11.5 Mm Other Details As Per Inv & Pl,3
Glazed Porcelain Floor Tiles Design Code Sugar (600X1200 Mm) Other Details Asper Invoice & Packing List,3
Glazed Vitrified Tiles (All Details As Per Inv & P/List),3
Unglazed Porcelain Tiles Size : 600 X 600 Mm(1 Box = 1.44 Sq.Mtr)(Rest As Per Inv),3
Ceramic Glazed Floor Tiles ( 600 X 600 Mm ) 4 Pcs Per & 1.44 Sqm Box(Rest Details As Per Invoice),3
Ceramic Glazed Wall Tiles Coloured Size:200Mm X 200Mm (1Box = 0.76 Sqm) Other Details As Per Inv & Pl,3
Ceramic Glazed Printed Wall Tiles Size:200X300 (18008 Boxes) (As Per Inv ),3
Glaze Porcelain Tiles (2040 Box),3
Glaze Porcelain Tiles (1050 Box),3
"Glazed Vitrified Tiles (600X1200Mm, / Polished) Rest As Per Inv And Pl",3
Glazed Vitrified Tiles/Glazed Ceramic Tiles Size:798 X 1598 Mm,3
Ceramic Floor Tiles (Rest Details As Perinvoice),3
Ceramic Glazed Vitrified Tiles.600X900X20 Mm (1 Pcs/Box) Glazed Vitrified Tiles (Light),3
Glazed Porcelain Floor Tiles Design Code Carving (600X1200 Mm) Other Details As Per Invoice & Packing List,3
Glazed Vitrified Mosaic Tiles Other Detail As Per Inv And Packing List,3
Ceramic Glaze Tiles Wall Other Detail Asper Inv And Packing List,3
Glazed Ceramic Wall Tile Other Details As Per Inv & Plt,3
Glazed Vitrified Tiles - 200X1200 Mm(Other Details Are As Per Invoice),3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X1200 Mm. Tax Inv.Me/49 Dt.23.04.2024,3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X1200 Mm. Tax Inv.Gstt/206 Dt.23.04.2024,3
Glazed Porcelain Tiles (Sgs Seal No-07592)(Rest As Per Inv),3
Glazed Porcelain Tiles (Sgs Seal No-07591) (Rest As Per Inv),3
Glazed Porcelain Tiles (Sgs Seal No-07590)(Rest As Per Inv),3
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:600X600 Mm.Tax Inv. Gstt/129 Dt.24.04.2024,3
Glazed Porcelian Floor Tiles Design Code Satin Matt (600X600 Mm) Other Detailsas Per Invoice & Packing List,3
Glazed Vitrified Floor Tiles Coloured (Size:600X600 Mm) Other Dtls As Per Inv &Plist,3
Ceramic Glazed Polished Vitrified Tilesother Details As Per Invoice,3
Glazed Vitrified Tiles As Per Inv. Tax Inv-Me/37 Dt.23.04.2024,3
Glazed Vitrified Tiles As Per Inv. Tax Inv-Gstt/104 Dt.23.04.2024,3
Glazed Vitrified Floor Tiles Size 600X600 ( 1 Box = 4Pcs ) Mfg-Greenray Granitopvt. Ltd Gst: 24Aaicg1650P1Zd Inv:Invk2,3
Ceramic Glazed Vitrified Tiles 600X1200(Other Details As Per Invoice),3
Digital Glazed Vitrified Tiles (600X1200Mm) 2 Pcs / Box As Per Inv,3
Ceramic Glazed Wall Tiles (20X30=16Pcs/Box),3
Ceramic Glazed Parking Tiles (Other Dtls As Per Inv & Pl),3
Ceramic Glazed Vitrified Tiles Size:600X600 Mm,3
Ceramic Glazed Wall Tiles Coloured Size:200Mm X 300Mm (1Box = 0.72 Sqm) Other Details As Per Inv & Pl,3
"Glazed Porcelain Tiles- 600 X1200Mm, Other Details As Per Inv Hs Code: 69072193",3
Ceramic Glazed Wall Tile Other Details As Per Inv And Pl,3
"Digital Glazed Polished Vitrified Tilessize : 600X1200 , Mfg- Imlis Ceramica Llp. Inv.Gstt/115 Dt: 12.04.2024 Gst:24Aai",3
Digital Glazed Porcelain (Vitrified) Tile Size:600X600 Mm Mfg-Siscon Tiles Llpinv-Gstt/88 Dt:12/04/2024 Gst-24Aeffs750,3
Polished Glaze Porcelain Tiles (988 Box),3
Glazed Vitrified Tiles (Size: 300X300 Mm) (+10 Box Sample Of Tiles - Foc),3
Ceramic Glazed Wall Tiles (Size: 250X375Mm),3
Ceramic Glazed Tiles Digital Glazed Vitrified Tiles 800 X1600Mm,3
Ceramic Glazed Tiles Digital Glazed Vitrified Tiles 600 X600Mm,3
Ceramic Glazed Tiles Digital Glazed Vitrified Tiles 1200X1200Mm,3
Vitrified Tiles 600X600 Mm Packed In Boxcontain 04 Pcs (As Per Invoice),3
Ceramic Glazed Printed Wall Tiles Size:300X450 Mm (2877 Boxes) (As Per Inv),3
Ceramic Glazed Vitrified Tiles(Size:800X1600 Mm)(Pltsd),3
Ceramic Glazed Wall Tiles (Size:300X600Mm) (Other Details As Per Inv & Pl),3
Glazed Ceramic Wall Tiles (7776 Box),3
Glazed Ceramic Wall Tiles (5184 Box),3
Glazed Ceramic Wall Tiles (3888 Box),3
