ITEM_DESCRIPTION,count
Ceramic Glazed Vitrified Tiles (Size: 600X1200 Mm) (Palletised),20
Porcelain Tiles Other Details As Per Inv& Pl,19
Ceramic Floor Tiles Other Details As Perinv & Pl,19
Ceramic Glazed Tiles O/D As Per Inv/Pl,19
Digital Printed Ceramic Glazed Porcelain Tiles 60 X 120 Cm,19
Digital Glazed Vitrified Tiles (All Other Details As Per Invoice And Pl),18
Glazed Porcelain Tiles Others As Per Invand Pl,18
Glazed Vitrified Tiles (As Per Inv & Pl),18
Porcelain Glazed Tiles (Size: 800 X 3200Mm),18
Glazed Vitrified Tiles (Other Details As Per Inv & Pl),18
Polished Glazed Vitrified Tiles (Rest Asper Inv),18
Ceramic Glazed Vitrified Tiles: 800 X 1600 Mm,17
Porcelain Glazed Tiles (Size: 800 X 2400Mm),17
Glazed Porcelain Tiles (Water Absorptionpercentage = Not Exceeding 0.5%) (Palletised),17
Glazed Vitrified Tiles 600X900 Other Details As Per Inv & Pl,17
Ceramic Glazed Vitrified Tiles (Size: 600X1200 Mm) - Other Details As Per Inv &Pl,16
Polished Glazed Vitrified Tiles (As Perinv),15
Ceramic Glazed Tiles (Other Details As Per Inv & Pl),15
Porcelain Glazed Slabs (Water Absorptionpercentage = Not Exceeding 0.5%) (Palletised),15
"Digital Glazed Porcelain (Vitrified) Tile Size; 300X600Mm Mfg-Neelson Ceramic Llp Inv:Mexp/6, Dt:05/04/2024 Gst No-24Aal",15
Porcelain Glazed Slabs ( Water Absorption Percentage = Not Exceeding 0.5%) (Palletised),15
"Digital Glazed Porcelain (Vitrified) Tile Size; 300X600Mm Mfg-Neelson Ceramic Llp Inv:Mexp/4, Dt:05/04/2024 Gst No-24Aal",15
Glazed Porcelain Tiles (1020 Box),15
Unglazed Porcelain Tiles (Size: 600X600Mm),15
Ceramic Glazed Wall Tiles (Size: 300X600Mm),15
Ceramic Glazed Tiles Digital Glazed Vitrified Tiles 600X1200Mm,15
"Digital Glazed Porcelain (Vitrified) Tile Size; 300X600Mm Mfg-Neelson Ceramic Llp Inv:Mexp/5, Dt:05/04/2024 Gst No-24Aal",15
"Digital Printed Glazed Porcelain Tiles,60 X 120 Cm",15
Digital Printed Ceramic Glazed Porcelaintiles(60 X 120 Cm)(Other Details Are Asper Invoice),15
"Glazed Porcelain Tiles, Other Details Asper Inv & Pl",15
Glazed Vitrified Tiles (Size: 600X1200 Mm),15
Glazed Porcelian Floor Tiles Design Code High Glossy (600X1200 Mm) Other Details As Per Invoice & Packing List,14
