,QTY,UNIT_VALUE_USD,DRAWBACK,FOREIGN_COUNTRY,Categories,FOREIGN PORT CONTINENT
23079,0.7318857623240067,0,-0.4472135954999579,-1.5009407827153816,1.1330181060474542,-0.3043111614596705
23080,0.4603845077622194,0,-0.4472135954999579,-1.5009407827153816,1.1330181060474542,-0.3043111614596705
23087,2.4497988591154765,0,0.4472135954999579,0.13703598759851024,0.4729128476690943,0.5398040620836654
23088,2.8329105300831507,0,0.4472135954999579,0.13703598759851024,0.4729128476690943,0.5398040620836654
23089,1.8751313526639648,0,0.4472135954999579,0.13703598759851024,0.4729128476690943,0.5398040620836654
23090,2.90528766683272,0,0.4472135954999579,1.7750127579124022,1.7931233644258144,1.3839192856270013
23091,2.250239782548754,0,0.4472135954999579,1.7750127579124022,1.7931233644258144,1.3839192856270013
23092,3.3419862563553644,0,0.4472135954999579,1.7750127579124022,1.7931233644258144,1.3839192856270013
23103,-0.6874716453754877,3,0.4472135954999579,0.13703598759851024,-0.8472976690876257,-0.3043111614596705
23104,-0.8057804266007459,2,-1.3416407864998738,0.13703598759851024,0.4729128476690943,-0.3043111614596705
23105,-0.17822193560147198,2,-0.4472135954999579,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23106,0.04621678172291486,2,-0.4472135954999579,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23107,-0.043558705206839875,2,-0.4472135954999579,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23108,-0.7936015814746163,0,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23180,-0.696431795718283,3,1.3416407864998738,-1.5009407827153816,-0.8472976690876257,0.5398040620836654
23181,-0.6864277443646766,2,0.4472135954999579,-1.5009407827153816,-0.8472976690876257,0.5398040620836654
23182,-0.6891244886426052,3,0.4472135954999579,-1.5009407827153816,-0.18719241070926568,0.5398040620836654
23184,0.4989218534113292,0,-0.4472135954999579,0.13703598759851024,1.7931233644258144,-0.3043111614596705
23185,0.9651976382402879,0,-0.4472135954999579,0.13703598759851024,1.7931233644258144,-0.3043111614596705
23186,0.7786873243087045,0,-0.4472135954999579,0.13703598759851024,1.7931233644258144,-0.3043111614596705
23187,0.7325816963312141,0,-1.3416407864998738,0.13703598759851024,1.1330181060474542,-0.3043111614596705
23188,0.3275481041365067,0,-1.3416407864998738,0.13703598759851024,1.1330181060474542,-0.3043111614596705
23189,0.5706030561536916,0,-1.3416407864998738,0.13703598759851024,1.1330181060474542,-0.3043111614596705
23190,2.572022269131276,0,1.3416407864998738,0.13703598759851024,1.1330181060474542,-0.3043111614596705
23191,1.9757808084563353,0,0.4472135954999579,0.13703598759851024,1.1330181060474542,-0.3043111614596705
23192,2.9695745707485037,0,1.3416407864998738,0.13703598759851024,1.1330181060474542,-0.3043111614596705
23194,-0.7813357445975859,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23195,-0.8058674183516468,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23196,-0.8064763606079532,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23197,-0.7582829306088408,3,-0.4472135954999579,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23198,-0.8035186410773217,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23199,-0.80334465757552,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23200,-0.79864710302687,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23201,-0.8064763606079532,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23202,-0.8051714843444394,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23203,-0.8026487235683125,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23204,-0.7932536144710126,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23205,-0.799864987539483,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23206,-0.8062153853552505,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23207,-0.7987340947777709,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23208,-0.8027357153192135,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23209,-0.775333313785422,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23210,-0.8035186410773217,3,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23211,-0.7815967198502887,2,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23212,-0.7996910040376811,2,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23213,-0.7941235319800218,2,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23214,-0.7941235319800218,2,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23215,-0.6587643675781824,2,-0.4472135954999579,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23216,-0.7805528188394776,2,-1.3416407864998738,-1.5009407827153816,1.1330181060474542,0.5398040620836654
23217,-0.01746117993656234,2,1.3416407864998738,0.13703598759851024,-0.18719241070926568,-0.3043111614596705
23218,0.11928985247969197,2,1.3416407864998738,0.13703598759851024,0.4729128476690943,-0.3043111614596705
23219,0.3558204231793074,2,1.3416407864998738,0.13703598759851024,0.4729128476690943,-0.3043111614596705
23220,-0.804475550337232,3,0.4472135954999579,0.13703598759851024,-0.18719241070926568,1.3839192856270013
23221,-0.7826406208610998,3,0.4472135954999579,1.7750127579124022,-0.18719241070926568,1.3839192856270013
23222,-0.8043015668354301,3,0.4472135954999579,1.7750127579124022,-0.18719241070926568,1.3839192856270013
23227,1.823980203134221,1,0.4472135954999579,-1.5009407827153816,-0.8472976690876257,-0.3043111614596705
23228,2.7634911128642123,1,1.3416407864998738,-1.5009407827153816,-0.8472976690876257,-0.3043111614596705
23229,2.3876867489722158,1,1.3416407864998738,-1.5009407827153816,-0.8472976690876257,-0.3043111614596705
23230,-0.802039781312006,3,1.3416407864998738,0.13703598759851024,-0.18719241070926568,0.5398040620836654
23238,-0.7851633816372265,3,0.4472135954999579,-1.5009407827153816,-0.18719241070926568,0.5398040620836654
